INFO3170,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO3180,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO2110,142,"{'SWEN': 0, 'COMP': 0, 'INFO': 142}"
COMP2140,271,"{'SWEN': 63, 'COMP': 66, 'INFO': 142}"
SWEN3101,138,"{'SWEN': 138, 'COMP': 0, 'INFO': 0}"
SWEN3145,138,"{'SWEN': 138, 'COMP': 0, 'INFO': 0}"
SWEN3920,138,"{'SWEN': 138, 'COMP': 0, 'INFO': 0}"
COMP3101,105,"{'SWEN': 0, 'COMP': 105, 'INFO': 0}"
COMP3220,105,"{'SWEN': 0, 'COMP': 105, 'INFO': 0}"
COMP2201,129,"{'SWEN': 63, 'COMP': 66, 'INFO': 0}"
COMP1210,252,"{'SWEN': 64, 'COMP': 59, 'INFO': 129}"
COMP1220,252,"{'SWEN': 64, 'COMP': 59, 'INFO': 129}"
COMP1126,252,"{'SWEN': 64, 'COMP': 59, 'INFO': 129}"
COMP1127,252,"{'SWEN': 64, 'COMP': 59, 'INFO': 129}"
COMP1161,252,"{'SWEN': 64, 'COMP': 59, 'INFO': 129}"
INFO3105,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO3170,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO3180,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO2110,142,"{'SWEN': 0, 'COMP': 0, 'INFO': 142}"
COMP2140,271,"{'SWEN': 63, 'COMP': 66, 'INFO': 142}"
SWEN3101,276,"{'SWEN': 276, 'COMP': 0, 'INFO': 0}"
SWEN3145,276,"{'SWEN': 276, 'COMP': 0, 'INFO': 0}"
SWEN3920,276,"{'SWEN': 276, 'COMP': 0, 'INFO': 0}"
COMP3101,105,"{'SWEN': 0, 'COMP': 105, 'INFO': 0}"
COMP3220,105,"{'SWEN': 0, 'COMP': 105, 'INFO': 0}"
COMP2201,129,"{'SWEN': 63, 'COMP': 66, 'INFO': 0}"
COMP1210,504,"{'SWEN': 128, 'COMP': 118, 'INFO': 258}"
COMP1220,375,"{'SWEN': 128, 'COMP': 118, 'INFO': 129}"
COMP1126,504,"{'SWEN': 128, 'COMP': 118, 'INFO': 258}"
COMP1127,504,"{'SWEN': 128, 'COMP': 118, 'INFO': 258}"
COMP1161,504,"{'SWEN': 128, 'COMP': 118, 'INFO': 258}"
COMP3161,339,"{'SWEN': 0, 'COMP': 105, 'INFO': 234}"
COMP3901,339,"{'SWEN': 0, 'COMP': 105, 'INFO': 234}"
INFO3110,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO3155,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO2100,142,"{'SWEN': 0, 'COMP': 0, 'INFO': 142}"
INFO2180,142,"{'SWEN': 0, 'COMP': 0, 'INFO': 142}"
COMP2190,271,"{'SWEN': 63, 'COMP': 66, 'INFO': 142}"
COMP2340,208,"{'SWEN': 0, 'COMP': 66, 'INFO': 142}"
COMP2171,129,"{'SWEN': 63, 'COMP': 66, 'INFO': 0}"
COMP2211,129,"{'SWEN': 63, 'COMP': 66, 'INFO': 0}"
INFO3105,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
COMP3161,339,"{'SWEN': 0, 'COMP': 105, 'INFO': 234}"
COMP3901,339,"{'SWEN': 0, 'COMP': 105, 'INFO': 234}"
INFO3110,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO3155,234,"{'SWEN': 0, 'COMP': 0, 'INFO': 234}"
INFO2100,142,"{'SWEN': 0, 'COMP': 0, 'INFO': 142}"
INFO2180,142,"{'SWEN': 0, 'COMP': 0, 'INFO': 142}"
COMP2190,271,"{'SWEN': 63, 'COMP': 66, 'INFO': 142}"
COMP2340,208,"{'SWEN': 0, 'COMP': 66, 'INFO': 142}"
COMP2171,129,"{'SWEN': 63, 'COMP': 66, 'INFO': 0}"
